year,sector,trq_value,total_value,trq_share
2016,Chemicals & Allied Industries,39022.9086680018,515550.34610109276,0.07569175147125187
2016,Foodstuffs,293834.2636480719,1052440.9910184436,0.27919310075876985
2016,Footwear / Headgear,14410.068484851672,73263.33313030207,0.19668868271694287
2016,Machinery / Electrical,7426.6159091192,417051.00792551425,0.017807452249211687
2016,Metals,21285.741737328804,395126.24980312056,0.05387073561408498
2016,Mineral Products,491.96923076923076,29023.72306541352,0.016950590028041303
2016,Miscellaneous,31964.153636384453,318742.26697077416,0.10028213057578361
2016,Plastics / Rubbers,59803.39399769105,346823.38869555347,0.1724318369145148
2016,"Raw Hides, Skins, Leather, & Furs",11534.256060604765,63434.39909093755,0.1818296732671751
2016,Stone / Glass,69671.1057576463,327089.10787911084,0.21300344181254766
2016,Textiles,22074.310000009733,677715.3395827947,0.032571654661968846
2016,Transportation,8994.655649352086,352384.0860258766,0.02552514715063376
2016,Unknown,0.0,35.0,0.0
2016,Vegetable Products,222319.4464935192,525975.1168733473,0.4226805401272487
2016,Wood & Wood Products,9137.863095247007,155349.54901763305,0.05882130429750915
2017,Chemicals & Allied Industries,35259.80568598042,401809.49355148384,0.08775254505394751
2017,Foodstuffs,290319.99832166807,994853.8207098179,0.29182176544743804
2017,Footwear / Headgear,13516.1909090902,59779.353636226755,0.22610132239535094
2017,Machinery / Electrical,5896.9863636292,337247.9510266271,0.01748561064842054
2017,Metals,18051.042470846944,308855.87921106326,0.058444872465941884
2017,Mineral Products,566.4711538461538,23946.376340253613,0.02365581939401502
2017,Miscellaneous,28353.2118181725,267880.86742367875,0.10584261612580653
2017,Plastics / Rubbers,56995.01786712523,284287.1810030235,0.20048395311401346
2017,"Raw Hides, Skins, Leather, & Furs",11849.4181818172,50177.58030302585,0.23614965309721497
2017,Stone / Glass,55000.4054545224,259312.6465145906,0.21210074477192042
2017,Textiles,12948.08181817425,479582.80817490147,0.026998636309440327
2017,Transportation,8013.137445874143,308263.79058323195,0.02599441676465915
2017,Unknown,0.0,35.0,0.0
2017,Vegetable Products,189064.5014285691,445333.41354608414,0.4245459596734353
2017,Wood & Wood Products,9952.833225099666,124615.88455585152,0.07986809434907081
2018,Chemicals & Allied Industries,34984.321794869364,707113399.9077185,4.9474839254121014e-05
2018,Foodstuffs,4141286.8819996524,268251525.57431108,0.015438073923842168
2018,Footwear / Headgear,12801.5712121212,13980980.022136722,0.0009156419072090719
2018,Machinery / Electrical,7659.2369696903,1073386464.3528318,7.135581846849747e-06
2018,Metals,16412.71638694279,285036306.2273979,5.7581143273197474e-05
2018,Mineral Products,566.723076923077,2369438281.2257695,2.3918034979577395e-07
2018,Miscellaneous,27592.7672727242,431368065.2647483,6.39657162747766e-05
2018,Plastics / Rubbers,56544.63158507732,179637875.2346463,0.0003147700979607874
2018,"Raw Hides, Skins, Leather, & Furs",11214.5530303038,27497855.795962535,0.0004078337276010595
2018,Stone / Glass,51103.72636364,145860698.39540255,0.000350359808542167
2018,Textiles,12069.419696964867,80821145.02084635,0.00014933492582729158
2018,Transportation,7986.0287878756,1177695040.2447295,6.78106684241115e-06
2018,Unknown,0.0,35.0,0.0
2018,Vegetable Products,455046.96424242394,7471255.811432858,0.060906355735549866
2018,Wood & Wood Products,11990.2700216508,46185946.51706601,0.00025960862396141036
2019,Chemicals & Allied Industries,3332591.3905011667,673069210.5933172,0.004951335372425452
2019,Foodstuffs,3615663.933772879,262251917.7892444,0.01378698758145427
2019,Footwear / Headgear,183856.3015151512,13644020.557595896,0.013475229001527322
2019,Machinery / Electrical,4324590.5884848535,976390945.2964737,0.004429158841873246
2019,Metals,2297982.055303025,213352191.01873767,0.010770838791626023
2019,Mineral Products,441578.775,222417657.0146626,0.0019853584509744635
2019,Miscellaneous,1433279.8536363612,475977617.4860821,0.0030112337239855008
2019,Plastics / Rubbers,1327205.7119696967,178396502.62777922,0.007439639748649586
2019,"Raw Hides, Skins, Leather, & Furs",200798.17878787854,24823813.05027187,0.008088933733960723
2019,Stone / Glass,967102.2260605999,128041462.08811794,0.007553039541168638
2019,Textiles,2497652.3621212062,87901345.03744236,0.02841426784831687
2019,Transportation,2099435.716666665,899542511.9320903,0.0023338927163735414
2019,Unknown,0.0,35.0,0.0
2019,Vegetable Products,1410529.202121213,12504649.594772602,0.11280037808583342
2019,Wood & Wood Products,1082166.206818178,46843946.79237123,0.023101516437432516
2020,Chemicals & Allied Industries,10896911.155011656,965075739.0693419,0.011291249705976392
2020,Foodstuffs,5213282.843996011,244795252.29536423,0.02129650307803268
2020,Footwear / Headgear,425555.6318181822,10997364.124723842,0.038696148185315124
2020,Machinery / Electrical,9399607.08727273,979115832.4739349,0.009600097123874215
2020,Metals,5634353.34666667,184528535.94871634,0.030533777974765672
2020,Mineral Products,1306898.05,396620115.2418066,0.0032950876664518793
2020,Miscellaneous,3837871.920000001,477282291.089849,0.008041094320169353
2020,Plastics / Rubbers,2950674.523939395,134591544.2912607,0.021923179048707806
2020,"Raw Hides, Skins, Leather, & Furs",521556.0363636363,20951224.368672013,0.02489382134361129
2020,Stone / Glass,2304640.9045454585,224535351.7529951,0.010264044777593543
2020,Textiles,6600646.190909099,105695828.8804169,0.062449448202700576
2020,Transportation,4290742.25909091,674386254.3002248,0.006362440265843182
2020,Unknown,0.0,35.0,0.0
2020,Vegetable Products,2541174.552727273,11395867.425072782,0.22299088414597307
2020,Wood & Wood Products,2491500.480303034,48317492.95621252,0.051565185357629044
2021,Chemicals & Allied Industries,8726069.852855477,89517691.98838769,0.0974787179945103
2021,Foodstuffs,12038278.631448539,49872124.20822477,0.24138291325203307
2021,Footwear / Headgear,358262.2954545454,4789554.195430589,0.0748007603288717
2021,Machinery / Electrical,5374718.961818178,558333406063102.6,9.626361065722672e-09
2021,Metals,3912722.4556060513,50779062.886469565,0.07705385316688511
2021,Mineral Products,893131.925,10589201.3716199,0.08434365290225582
2021,Miscellaneous,2456582.6699999967,30146246.65780201,0.08148883998347502
2021,Plastics / Rubbers,2623264.791969694,25407371.97861858,0.10324817514291863
2021,"Raw Hides, Skins, Leather, & Furs",547314.3090909088,6128559.902829734,0.0893055330728183
2021,Stone / Glass,1742441.0169696857,19678252.99170393,0.08854652990304951
2021,Textiles,4994863.739393944,59628278.98982396,0.08376669298549363
2021,Transportation,1185119.7772727257,713333353551197.1,1.6613828182473563e-09
2021,Unknown,0.0,6100.0,0.0
2021,Vegetable Products,2428466.3481818167,19397306.809280198,0.1251960579919256
2021,Wood & Wood Products,1504712.1159090812,21228939.95020313,0.07088022856716797
2022,Chemicals & Allied Industries,14887336.61029526,35647207.97768175,0.4176298076308256
2022,Foodstuffs,7269037.694703623,14175494.99728089,0.5127889852240047
2022,Footwear / Headgear,643897.7590909092,1578085.9473114938,0.40802451868219575
2022,Machinery / Electrical,12853239.536363635,31440050.542121753,0.40881739420690594
2022,Metals,7874218.920454542,20009012.727603056,0.39353360546329264
